"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Priority"
"1",0,3,"male",22,1,0,7.25,"NP"
"2",1,1,"female",38,1,0,71.2833,"P"
"3",1,3,"female",26,0,0,7.925,"P"
"4",1,1,"female",35,1,0,53.1,"P"
"5",0,3,"male",35,0,0,8.05,"NP"
"6",0,3,"male",40,0,0,8.4583,"NP"
"7",0,1,"male",54,0,0,51.8625,"NP"
"8",0,3,"male",2,3,1,21.075,"P"
"9",1,3,"female",27,0,2,11.1333,"P"
"10",1,2,"female",14,1,0,30.0708,"P"
"11",1,3,"female",4,1,1,16.7,"P"
"12",1,1,"female",58,0,0,26.55,"P"
"13",0,3,"male",20,0,0,8.05,"NP"
"14",0,3,"male",39,1,5,31.275,"NP"
"15",0,3,"female",14,0,0,7.8542,"P"
"16",1,2,"female",55,0,0,16,"P"
"17",0,3,"male",2,4,1,29.125,"P"
"18",1,2,"male",29,0,0,13,"NP"
"19",0,3,"female",31,1,0,18,"P"
"20",1,3,"female",14,0,0,7.225,"P"
"21",0,2,"male",35,0,0,26,"NP"
"22",1,2,"male",34,0,0,13,"NP"
"23",1,3,"female",15,0,0,8.0292,"P"
"24",1,1,"male",28,0,0,35.5,"NP"
"25",0,3,"female",8,3,1,21.075,"P"
"26",1,3,"female",38,1,5,31.3875,"P"
"27",0,3,"male",28.5,0,0,7.225,"NP"
"28",0,1,"male",19,3,2,263,"NP"
"29",1,3,"female",16,0,0,7.8792,"P"
"30",0,3,"male",21,0,0,7.8958,"NP"
"31",0,1,"male",40,0,0,27.7208,"NP"
"32",1,1,"female",38,1,0,146.5208,"P"
"33",1,3,"female",16,0,0,7.75,"P"
"34",0,2,"male",66,0,0,10.5,"NP"
"35",0,1,"male",28,1,0,82.1708,"NP"
"36",0,1,"male",42,1,0,52,"NP"
"37",1,3,"male",22,0,0,7.2292,"NP"
"38",0,3,"male",21,0,0,8.05,"NP"
"39",0,3,"female",18,2,0,18,"P"
"40",1,3,"female",14,1,0,11.2417,"P"
"41",0,3,"female",40,1,0,9.475,"P"
"42",0,2,"female",27,1,0,21,"P"
"43",0,3,"male",28.5,0,0,7.8958,"NP"
"44",1,2,"female",3,1,2,41.5792,"P"
"45",1,3,"female",19,0,0,7.8792,"P"
